Catalog Nr.	Type status	Order	Family	Genus Name	Species Name	Author	Date descr.	Determined by	Date det.	Country	Locality	Lat	Long	Lat_dec	Long_dec	coord_uncertainty_flag	Ecology	Altitude	Depth	Date	Collector	Collectors	Specimens	Notes	Host	last modified
ZFMK Cr00072		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector72	Collector72		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00073		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector73	Collector73		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00074		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector74	Collector74		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00075		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector75	Collector75		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00076		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector76	Collector76		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00077		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector77	Collector77		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00078		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector78	Collector78		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00079		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector79	Collector79		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00080		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector80	Collector80		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00081		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector81	Collector81		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00082		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector82	Collector82		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00083		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector83	Collector83		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00084		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector84	Collector84		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00085		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Italy	Ischia-ponte, G. v. Napoli										Collector85	Collector85		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00086		Amphipoda	Corophiidae	Caprella	acanthifera	Leach	1814			Croatia	Rovinj, N Adria						Stadt				Collector86	Collector86		on Cystoseira	Cystoseira	31.iii.2015
ZFMK Cr00087		Amphipoda	Corophiidae	Pseudoprotella	phasma	Montagu	1804			Italy	Ischia, G. v. Napoli										Collector87	Collector87		on Halimeda (?)	Halimeda(?)	31.iii.2015
ZFMK Cr00088		Amphipoda	Corophiidae	Caprella	grandimana cf.	Mayer	1882			Italy	Ischia-ponte, G. v. Napoli										Collector88	Collector88		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00089		Amphipoda	Corophiidae	Caprella	grandimana cf.	Mayer	1882			Italy	Ischia-ponte, G. v. Napoli										Collector89	Collector89		on Halopteris filicina	Halopteris filicina	31.iii.2015
ZFMK Cr00090		Decapoda	Portunidae	Portunus	aripatus					Italy	Neapel									10.iv.1885	Collector90					31.iii.2015
ZFMK Cr00091		Decapoda	Portunidae	Portunus	puber	Linnaeus				Italy (?)	Mentone (Weltweit mehrmals, aber nicht in Italien)									1878	Collector91					31.iii.2015
ZFMK Cr00092		Decapoda	Xanthidae	Xantho	poressa	Olivi	1792			Italy	Neapel									2.iv.1885	Collector92					31.iii.2015
ZFMK Cr00093		Decapoda	Grapsidae	Eriocheir	sinensis	H. Milne Edwards	1853				Achterwehr Schiffahrtskanal (Ringkanal) Eiderstrecke, beginnend am Nordostsee-Kanal						Süßwasser			ix.1986	Collector93	Collector 2				31.iii.2015
ZFMK Cr00094										Brasil	Petrobras(?), nahe Rio Yaguaripe									29.vi.1974	Collector94	Collector 3, K.H.				31.iii.2015
ZFMK Cr00095										Nigeria	Hgotel Mts., nahe Grenze zu Kamerun									25.iii.88	Collector95	Collector4, G.				31.iii.2015
ZFMK Cr00096																					Collector96					31.iii.2015
ZFMK Cr00097		Decapoda	Potamidae	Potamon	potamios	Bott				Turkey	NO Hopa, 400m (Prov. Artvin)						Straßenrand mit Sambucusnigra, Pteridium aquilinum, nahe Bach unter Stein			18.viii.1988	Collector97	Collector5, M.		1 eitragendes Weibchen, 49		31.iii.2015
ZFMK Cr00098										Peru	ca. 200m vom Ufer des Chipiriri entfernt						unter einem morschen stück Holz am Boden			x.1966	Collector98	Collector6, K.-H.				31.iii.2015
